"","Year","County","PRCP","Program","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"1",2000,"BINGHAM",21.96,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",375,NA
"2",2000,"JEFFERSON",7.27,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",345,NA
"3",2000,"MADISON",13.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",315,NA
"4",2000,"TETON",56.45,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",215,NA
"5",2001,"BINGHAM",15.72,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",332,NA
"6",2001,"JEFFERSON",5.83,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",339,NA
"7",2001,"MADISON",6.53,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",311,NA
"8",2001,"TETON",42.82,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",225,NA
"9",2002,"BINGHAM",18.34,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",335,NA
"10",2002,"JEFFERSON",5.85,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",355,NA
"11",2002,"MADISON",8.7,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",330,NA
"12",2002,"TETON",53.48,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",250,NA
"13",2003,"BINGHAM",21.64,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",325,NA
"14",2003,"JEFFERSON",6.47,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",333,NA
"15",2003,"MADISON",15.46,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",310,NA
"16",2003,"TETON",43.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",233,NA
"17",2004,"BINGHAM",29.25,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",370,NA
"18",2004,"JEFFERSON",8.81,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",380,NA
"19",2004,"MADISON",22.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",320,NA
"20",2004,"TETON",55.11,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",247,NA
"21",2005,"BINGHAM",33.62,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",346,NA
"22",2005,"JEFFERSON",8.54,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",385,NA
"23",2005,"MADISON",21,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",319,NA
"24",2005,"TETON",63.4,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",235,NA
"25",2006,"BINGHAM",28.73,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",362,NA
"26",2006,"JEFFERSON",7.23,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",389,NA
"27",2006,"MADISON",22.31,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",337,NA
"28",2006,"TETON",52.5,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",257,NA
"29",2007,"BINGHAM",24.49,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",346,NA
"30",2007,"JEFFERSON",2.89,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",426,NA
"31",2007,"MADISON",14.18,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",321,NA
"32",2007,"TETON",50.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",249,NA
"33",2008,"BINGHAM",20.76,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",367,NA
"34",2008,"JEFFERSON",7.15,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",391,NA
"35",2008,"MADISON",15.54,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",319,NA
"36",2008,"TETON",62.68,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",246,NA
"37",2009,"BINGHAM",26.59,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",385,NA
"38",2009,"JEFFERSON",6.16,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",472,NA
"39",2009,"MADISON",15.46,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",381,NA
"40",2009,"TETON",65.15,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",276,NA
"41",2010,"BINGHAM",31.08,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",367,NA
"42",2010,"JEFFERSON",11.19,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",412,NA
"43",2010,"MADISON",27.75,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",323,NA
"44",2010,"TETON",74.1,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",215,NA
"45",2011,"BINGHAM",30.41,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",384,NA
"46",2011,"JEFFERSON",17.1,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",471,NA
"47",2011,"MADISON",27.99,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",367,NA
"48",2011,"TETON",64.4,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",233,NA
"49",2012,"BINGHAM",26.26,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",406,NA
"50",2012,"JEFFERSON",16.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2012,"MADISON",27.09,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",385,NA
"52",2012,"TETON",46.59,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",285,NA
"53",2013,"BINGHAM",17.33,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",395,NA
"54",2013,"JEFFERSON",13.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2013,"MADISON",23.74,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",369,NA
"56",2013,"TETON",49.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2014,"BINGHAM",33.52,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",400,NA
"58",2014,"JEFFERSON",22.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2014,"MADISON",43.24,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",384,NA
"60",2014,"TETON",69.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2015,"BINGHAM",31.95,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",391,NA
"62",2015,"JEFFERSON",21.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2015,"MADISON",33.37,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",379,NA
"64",2015,"TETON",57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2016,"BINGHAM",45.76,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",409,NA
"66",2016,"JEFFERSON",25.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2016,"MADISON",34.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2016,"TETON",68.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2017,"BINGHAM",42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2017,"JEFFERSON",21.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2017,"MADISON",31.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2017,"TETON",52.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2018,"BINGHAM",14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2018,"MADISON",20.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2018,"TETON",29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
